AC-No.;No.;Name;Time;State;New State;Exception;Operation;;;;;;;;;
32;;32;12/17/2015 4:47 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/20/2015 9:16 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/20/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/21/2015 9:07 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/21/2015 5:09 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/22/2015 9:14 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/22/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/23/2015 8:56 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/23/2015 5:18 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/28/2015 9:37 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/28/2015 5:30 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/29/2015 9:45 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/29/2015 5:04 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/30/2015 9:20 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/30/2015 5:19 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/31/2015 9:07 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/1/2015 10:11 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/1/2015 10:32 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/2/2015 9:54 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/2/2015 9:55 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/3/2015 9:55 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/3/2015 8:22 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/7/2015 9:59 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/7/2015 5:13 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/8/2015 9:50 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/8/2015 9:54 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/9/2015 10:21 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/9/2015 10:07 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/10/2015 10:28 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/10/2015 6:19 PM;C/In;OverTime Out;FOT;;;;;;;;;;
36;;36;12/14/2015 10:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/14/2015 8:39 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/15/2015 10:02 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/15/2015 8:30 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/16/2015 10:12 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/16/2015 6:24 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/17/2015 11:10 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/17/2015 7:02 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/20/2015 10:25 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/20/2015 9:17 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/21/2015 10:34 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/21/2015 10:48 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/22/2015 10:36 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/22/2015 9:49 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/23/2015 10:29 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/23/2015 7:19 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/24/2015 10:39 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/24/2015 8:16 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/27/2015 10:23 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/27/2015 10:10 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/28/2015 10:56 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/28/2015 9:23 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
36;;36;12/29/2015 10:53 AM;C/In;;Invalid;;;;;;;;;;
36;;36;12/29/2015 10:14 PM;C/Out;;Invalid;;;;;;;;;;
36;;36;12/30/2015 10:09 AM;C/In;OverTime In;FOT;;;;;;;;;;
36;;36;12/30/2015 7:14 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/1/2015 9:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/1/2015 7:54 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/2/2015 9:04 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/2/2015 6:12 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/3/2015 9:10 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/3/2015 4:55 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/7/2015 8:43 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/7/2015 6:05 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/8/2015 9:50 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/8/2015 7:56 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/9/2015 8:54 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/9/2015 6:59 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/10/2015 8:48 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/10/2015 6:28 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/13/2015 8:56 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/13/2015 6:09 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/14/2015 9:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/14/2015 7:00 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/15/2015 8:45 AM;C/In;;Invalid;;;;;;;;;;
39;;39;12/15/2015 7:50 PM;C/Out;;Invalid;;;;;;;;;;
